bedroom,bathroom,area,parking,price
4,4,300,2,32000
2,2,140,2,32000
6,3,140,2,32000
3,3,140,2,32000
3,3,140,2,32000
3,3,330,2,19000
2,2,330,2,19000
2,2,330,2,19000
2,2,330,2,19000
3,2,330,2,19000
3,3,330,2,19000
3,3,330,2,19000
3,3,626,2,24500
3,4,240,2,32000
4,4,625,2,32000
3,2,200,1,12000
3,3,234,2,23000
2,2,234,2,23000
3,4,300,2,45000
3,4,300,2,45000
3,3,300,2,45000
3,3,320,2,40000
3,3,320,2,40000
2,3,320,2,40000
2,1,320,2,40000
3,3,280,2,15900
3,4,640,4,38000
2,2,121,2,21000
4,2,225,2,14000
4,3,350,2,17500
3,2,650,4,17000
3,2,650,4,17000
3,2,650,4,17000
4,4,300,2,32000
3,2,300,2,32000
3,4,230,2,23000
3,4,450,3,30000
2,3,200,2,11500
4,4,200,2,11500
3,3,200,2,11500
2,2,200,2,11500
1,3,518,2,25000
3,3,626,2,24500
2,1,160,2,5000
3,4,640,4,38000
3,2,250,2,18500
3,3,320,2,40000
4,4,703,4,45000
3,4,530,2,15000
3,4,250,2,26000
2,2,99,2,12500
2,2,192,1,15000
2,2,204,2,25000
3,3,304,2,18300
2,1,152,2,18300
4,4,198,2,22000
3,2,198,2,22000
3,3,250,2,18800
3,2,250,2,18800
2,2,140,2,18800
3,2,297,2,18500
3,2,297,2,18500
2,2,297,2,18500
4,4,417,2,35000
2,2,417,2,35000
3,4,250,2,26000
3,4,300,2,45000
2,2,99,2,12500
2,1,160,2,5000
2,1,160,1,5000
2,1,160,1,5000
1,1,160,1,5000
2,1,160,1,6000
2,2,158,2,18500
2,2,116,2,19000
2,1,116,2,19000
6,3,116,2,19000
0,3,116,2,19000
3,3,116,2,19000
3,3,116,2,19000
2,1,160,2,8000
3,3,160,2,8000
6,3,420,2,8000
4,4,416,2,35000
2,1,416,2,35000
3,3,304,2,18300
2,3,304,2,18300
2,2,304,2,18300
4,3,200,1,18000
3,3,200,1,18000
2,2,200,1,18000
3,4,250,2,21500
6,4,250,2,21500
6,4,250,2,21500
6,4,80,4,50000
3,2,80,4,50000
2,2,400,4,50000
3,3,258,2,19000
4,4,305,2,25000
3,3,218,2,25000
2,2,160,2,6500
3,2,204,2,16000
2,1,160,1,7500
3,3,574,4,18000
0,3,574,4,18000
2,2,140,4,18000
3,3,140,4,18000
4,4,600,2,25000
3,2,600,2,25000
2,2,600,2,25000
2,1,160,2,40000
3,2,139,2,23000
3,1,233,2,15000
2,2,233,2,15000
4,3,314,3,16000
4,4,414,2,20500
2,1,201,2,9500
2,2,37,2,18000
3,3,37,2,18000
2,2,37,2,18000
2,2,37,2,18000
4,4,350,2,25000
2,2,125,2,19500
3,3,388,2,25000
3,3,234,2,25000
4,4,454,4,35000
2,2,137,2,17500
3,3,229,2,30000
1,1,160,2,10000
3,2,350,3,20000
0,2,350,3,20000
3,2,350,2,12000
3,4,350,2,12000
3,4,300,2,40000
3,2,160,1,11500
3,4,300,2,22000
3,4,270,2,21600
3,3,300,2,17000
2,2,220,3,18000
3,3,330,2,19000
2,2,330,2,19000
3,2,330,2,19000
2,2,480,4,22500
4,4,480,4,22500
5,3,480,4,22500
0,3,480,4,22500
3,1,314,4,22500
3,3,314,4,22500
3,4,450,2,36000
4,4,450,2,43000
5,2,500,2,43000
3,2,500,2,43000
2,2,222,2,34000
3,3,222,2,34000
2,2,222,2,34000
3,4,222,2,34000
3,4,222,2,34000
3,3,140,2,25000
2,1,160,1,6000
3,4,450,3,30000
3,2,200,1,12000
4,4,270,2,20000
2,2,107,1,9000
3,2,12,2,10900
4,3,300,2,17500
3,1,297,1,12000
4,4,297,1,12000
1,1,297,1,12000
3,4,315,2,30000
4,4,508,4,23000
3,2,261,2,15000
2,1,153,2,3000
5,3,476,2,28000
2,1,148,2,10000
2,1,200,2,6500
3,3,320,2,13000
3,4,320,2,13000
2,1,475,4,15000
3,4,460,2,50000
